ROBUST STOCK RECALCULATION V2 - RESULTS
==========================================
Executed at: 2026-01-08 16:34:16
Cutoff Date: 2025-12-31

Products Processed: 993
Products Updated: 412
Records Created: 260
Records Updated: 0
Records Deleted: 16839
Errors: 0

STOCK CHANGES:
Product 926: 6 => 3 (-3) [Opname: 3, Tx: 0]
Product 930: 2 => 1 (-1) [Opname: 1, Tx: 0]
Product 951: 0 => 10 (+10) [Opname: 10, Tx: 0]
Product 953: 5 => 4 (-1) [Opname: 4, Tx: 0]
Product 954: 200 => 180 (-20) [Opname: 180, Tx: 0]
Product 955: 90 => 80 (-10) [Opname: 80, Tx: 0]
Product 956: 40 => 10 (-30) [Opname: 20, Tx: 1]
Product 958: 60 => 70 (+10) [Opname: 70, Tx: 0]
Product 962: 9 => 8 (-1) [Opname: 9, Tx: 1]
Product 964: 120 => 100 (-20) [Opname: 100, Tx: 0]
Product 968: 6 => 12 (+6) [Opname: 6, Tx: 1]
Product 973: 200 => 180 (-20) [Opname: 190, Tx: 1]
Product 980: 52 => 28 (-24) [Opname: 31, Tx: 2]
Product 984: 15 => 8 (-7) [Opname: 8, Tx: 0]
Product 985: 260 => 210 (-50) [Opname: 220, Tx: 1]
Product 989: 0 => 1 (+1) [Opname: 1, Tx: 0]
Product 994: 3010 => 1970 (-1040) [Opname: 1440, Tx: 5]
Product 995: 5 => 4 (-1) [Opname: 4, Tx: 0]
Product 998: 13 => 12 (-1) [Opname: 6, Tx: 1]
Product 999: 10 => 12 (+2) [Opname: 6, Tx: 1]
